day	contagion deaths intesiveCare	 TestsTamponi
07-ago	249756	35190	42	7158909
08-ago	250103	35203	43	7212207
09-ago	250566	35205	45	7249844
10-ago	250825	35209	46	7276276
11-ago	251237	35215	49	7316918
12-ago	251713	35225	53	7369576
13-ago	252235	35231	55	7420764
14-ago	252809	35234	56	7467487
15-ago	253438	35392	55	7520610
16-ago	253915	35396	56	7557417
17-ago	254235	35400	58	7588083
18-ago	254636	35405	58	7642059
19-ago	255278	35412	66	7713154
20-ago	256118	35418	68	7790596
21-ago	257065	35427	69	7862592
22-ago	258136	35430	64	7940266
23-ago	259345	35437	69	8007637
24-ago	260298	35441	65	8053551
25-ago	261174	35445	66	8125892
26-ago	262540	35458	69	8219421
27-ago	263949	35463	67	8313445
28-ago	265409	35472	74	8410510
29-ago	266853	35473	79	8509618
30-ago	268218	35477	86	8586341
31-ago	269214	35483	94	8644859
01-set	270189	35491	107	8725909
02-set	271515	35497	109	8828868
03-set	272912	35507	120	8921658
04-set	274644	35518	121	9034743
05-set	276338	35534	121	9142401
06-set	277634	35541	133	9219257
07-set	278784	35553	142	9271810
08-set	280153	35563	143	9364213
09-set	281583	35577	150	9460203
10-set	283180	35587	164	9554389
11-set	284796	35597	175	9653269
12-set	286297	35603	182	9745975
13-set	287753	35610	187	9818118
14-set	288761	35624	197	9863427
15-set	289990	35633	201	9943944
16-set	291442	35645	207	10044551
17-set	293025	35658	212	10146324
18-set	294932	35668	208	10246143
19-set	296569	35692	215	10349386
20-set	298156	35707	222	10432814
21-set	299506	35724	232	10488676
22-set	300897	35738	239	10575979
23-set	302537	35758	244	10679675
24-set	304323	35781	246	10787694
25-set	306235	35801	244	10894963
26-set	308104	35818	247	10999350
27-set	309870	35835	254	11087964
28-set	311364	35851	264	11138173
29-set	313011	35875	271	11228358
30-set	314861	35894	280	11333922
01-ott	317409	35918	291	11452158
02-ott	319908	35941	294	11572459
03-ott	322751	35968	297	11691391
04-ott	325329	35986	303	11784105
05-ott	327586	36002	323	11844346
06-ott	330263	36030	319	11944088
07-ott	333940	36061	337	12069402
08-ott	338398	36083	358	12197500
09-ott	343770	36111	387	12326971
10-ott	349494	36140	390	12460055
11-ott	354950	36166	420	12564713
12-ott	359569	36205	452	12650155
13-ott	365467	36246	514	12762699
14-ott	372799	36289	539	12914895
15-ott	381602	36372	586	13077827
16-ott	391611	36427	638	13228204
17-ott	402536	36474	705	13394041
18-ott	414241	36543	750	13540582
19-ott	423578	36616	797	13639444
20-ott	434449	36705	870	13784181
21-ott	449648	36832	926	13962029
22-ott	465726	36968	992	14132421
23-ott	484869	37059	1049	14314453
24-ott	504509	37210	1128	14492122
25-ott	525782	37338	1208	14654002
26-ott	542789	37479	1284	14778688
27-ott	564788	37700	1411	14953086
28-ott	589766	37905	1536	15152038
29-ott	616595	38122	1651	15353490
30-ott	647674	38321	1746	15568575
31-ott	679430	38618	1843	15784461
01-nov	709335	38826	1939	15967918
02-nov	731588	39059	2022	16103649
03-nov	759829	39412	2225	16285936
04-nov	790377	39764	2292	16497767
05-nov	824879	40192	2391	16717651
06-nov	862681	40638	2515	16951896
07-nov	902490	41063	2634	17183569
08-nov	935104	41394	2749	17374713
09-nov	960373	41750	2849	17522438
10-nov	995463	42330	2971	17740196
11-nov	1028424	42953	3081	17965836
12-nov	1066401	43589	3170	18200508
13-nov	1107303	44139	3230	18455416
14-nov	1144552	44683	3306	18683111
15-nov	1178529	45229	3422	18878386
16-nov	1205881	45733	3492	19031049
17-nov	1238072	46464	3612	19239507
18-nov	1272352	47217	3670	19474341
19-nov	1308528	47870	3712	19724527
20-nov	1345767	48569	3748	19962604
21-nov	1380531	49261	3758	20199829
22-nov	1408868	49823	3801	20388576
23-nov	1431795	50453	3810	20537521
24-nov	1455022	51306	3816	20726180
25-nov	1480874	52028	3848	20956187
26-nov	1509875	52850	3846	21188898
27-nov	1538217	53677	3782	21411701
28-nov	1564532	54363	3762	21637641
29-nov	1585178	54904	3753	21814575
30-nov	1601554	55576	3744	21945099
01-dic	1620901	56361	3663	22127199
02-dic	1641610	57045	3616	22334342
03-dic	1664829	58038	3597	22561071
04-dic	1688939	58852	3567	22767130
05-dic	1709991	59514	3517	22962114
06-dic	1728878	60078	3454	23125664
07-dic	1742557	60606	3382	23236881
08-dic	1757394	61240	3345	23386113
09-dic	1770149	61739	3320	23504588
10-dic	1787147	62626	3291	23676174
11-dic	1805873	63387	3265	23866590
12-dic	1825775	64036	3199	24063029
13-dic	1843712	64520	3158	24215726
14-dic	1855737	65011	3095	24319310
15-dic	1870576	65857	3003	24483741
16-dic	1888144	66537	2926	24683230
17-dic	1906377	67220	2855	24868550
18-dic	1921778	67894	2819	24815520
19-dic	1938083	68447	2784	24991705
20-dic	1953185	68799	2743	25129125
21-dic	1964054	69214	2731	25217014
22-dic	1977370	69842	2687	25383219
23-dic	1991278	70395	2624	25558583
24-dic	2009317	70900	2589	25752360
25-dic	2028354	71359	2584	25904694
26-dic	2038759	71620	2582	25985979
27-dic	2047696	71925	2580	26046137
28-dic	2056277	72370	2565	26114818
29-dic	2067487	73029	2549	26243558
30-dic	2083689	73604	2528	26412603
31-dic	2107166	74159	2555	26598607
01-gen	2129376	74621	2553	26756131
02-gen	2141201	74985	2569	26823305
03-gen	2155446	75332	2583	26926279
04-gen	2166244	75680	2579	27004272
05-gen	2181619	76329	2569	27139378
06-gen	2201945	76877	2571	27317974
07-gen	2220361	77291	2587	27439249
08-gen	2237890	77911	2587	27579516
09-gen	2257866	78394	2593	27751635
10-gen	2276491	78755	2615	27891393
11-gen	2289021	79203	2642	27983049
12-gen	2303263	79819	2636	28124690
13-gen	2319036	80326	2579	28300119
14-gen	2336279	80848	2557	28460704
15-gen	2352423	81325	2522	28617351
16-gen	2368733	81800	2520	28780581
17-gen	2381277	82177	2503	28910309
18-gen	2390101	82554	2544	28997556
19-gen	2400598	83157	2487	29132944
20-gen	2414166	83681	2461	29296422
21-gen	2428221	84202	2418	29458875
22-gen	2441854	84674	2390	29608567
23-gen	2455185	85162	2386	29759716
24-gen	2466813	85461	2400	29893362
25-gen	2475372	85881	2421	29979531
26-gen	2485956	86422	2372	30087654
27-gen	2501147	86889	2352	30255759
28-gen	2515507	87381	2288	30419975
29-gen	2529070	87858	2270	30565671
30-gen	2541783	88279	2218	30718540
31-gen	2553032	88516	2215	30840259
01-feb	2560957	88845	2252	30916110
02-feb	2570608	89344	2214	31041506
03-feb	2583790	89820	2145	31199437
04-feb	2597446	90241	2151	31350804
05-feb	2611659	90618	2142	31499364
06-feb	2625098	91003	2110	31648706
07-feb	2636738	91273	2107	31771821
08-feb	2644707	91580	2143	31847929
09-feb	2655319	92002	2143	31974515
10-feb	2668266	92338	2128	32136820
11-feb	2683393	92719	2126	32306585
